fip,Tow_4-D,ATRAZINE,CHLORIMURON,DICAMBA,FOMESAFEN,GLYPHOSATE,PARAQUAT
08051,363.6,,,76,,126.4,81.9
08053,4.3,,,0.9,,1.7,
08055,559.4,15.4,,2035.6,,144.4,0.6
08057,972.4,,,110.5,,80.3,13.7
08059,36,69,,370.5,,129.6,2.1
08061,25294.3,17836.5,,4952.7,,9609.2,988.2
08063,20765.4,119188.8,0.1,7817.5,,22429,1508.1
08065,39.2,,,4.2,,2.5,
08067,756.8,490.1,,393.1,,425.1,633.5
08069,1585.9,4264.3,,3375.6,13.1,3616.4,383.3
08071,4072,1468.5,,8038.4,,973.1,75.3
08073,11701.6,20343.1,,6743.2,,6013.9,652.1
08075,8508.8,27438.7,,9778.6,9,17172,987
08077,3265.2,2637.5,,770.2,,2899.4,1281.7
08079,10.3,,,1.1,,0.7,
08081,3237,1686.2,,727.1,,1764.2,706.8
08083,2333.3,809.9,,766.8,,1162.2,998.3
08085,4229.1,5496.3,,769.7,,2316.3,597.2
08087,5185.8,22709.9,,8140.9,12,14996.7,799.6
08089,2401.3,1935.7,0.2,2878.1,,795,66.1
08091,167.1,15.7,,54.5,,68.4,54.6
08093,795.1,,,88.5,,60.7,7.2
08095,6274.6,76410.8,,2368.6,,12589,500.4
08097,41.9,,,97,,259.9,205.3
08099,30363.7,24043.8,,3428.4,,7861.2,1016.5
08101,1571.1,853.1,,2859.7,,537.9,27.1
08103,1142.9,307.7,,206.2,,396.5,158.9
08105,3574.9,2629.8,,1784.4,,1272.7,1123.1
08107,1496.4,1080.7,,395.1,,1057.9,353.8
08109,3351.6,1785.3,,1572.2,,1119.8,1324.6
08111,27.1,,,7.1,,1.9,13.7
08113,541.1,198.6,,162.5,,194.5,219.2
08115,4929.2,14706.6,,4420.6,22.5,9605,595
08117,45.5,,,4.9,,3,
08119,185.7,,,23.6,,22.4,8.2
08121,16526.4,49920.2,,6288,,11817.8,1052.6
08123,11901.7,40354.5,,17131.3,80.6,30949.5,1821.3
08125,9313.4,132060.3,0.1,5994.6,,22477.4,795.3
09001,20.6,87.8,,,,84.5,35
09003,167.5,1774.6,,0.9,0.3,462.6,152.8
09005,180.1,4312.3,,2.7,,537.6,139
09007,33.4,278.5,,0.2,,94.7,37.7
09009,68.2,795.3,,0.5,,244.3,89.8
09011,136.9,4053.1,,2.6,,478.7,119.8
09013,101.9,3084.5,,1.9,,385.7,96.6
09015,139.2,4831.1,,3.1,0.3,585.4,144.6
10001,8901,57204.5,136.1,2359.9,864.2,53038.8,4439.4
10003,882.3,3156.2,29.5,257.5,252.9,16736.4,734.3
10005,19979.7,45100.2,31.7,334.8,406.9,21018.7,4047
12001,2365.9,6063.5,1.5,676.2,,3193,490.8
12003,318.3,149.8,,20.9,,71.9,19
12005,157.6,14.4,,6.5,,1.3,0.7
12007,401,204.1,,46,,380.9,54.7
12009,586.6,105.9,,181.3,,21918.8,68.1
12011,59.9,,,18.2,,1344.4,154.2
12013,411.7,177.6,16.5,13.5,,4142.4,238.2
12015,360.4,1.3,,94.7,,46859.7,148.8
12017,371.5,0.6,,26,,830.5,19.4
12019,363.9,9.1,,26.7,,277.2,15.5
12021,607.6,20.4,,155.9,,89118.1,4584.3
12023,1354.5,484.2,9.7,76.1,1.8,526.3,200
12025,58.7,3973.4,,37.5,,3651.4,1546.6
12027,966.4,,,233.4,,179400.6,529.7
12029,761.1,17.6,,22.2,,128.3,5.7
12031,656.7,193.5,,33.8,,106.5,19
12033,919.7,1216.4,9.6,29.4,,9141.7,516.9
12035,287.2,,,20.5,,264.5,4.2
12039,545.3,316.3,1.9,22.9,,1016.1,474.5
12041,871,5362.4,0.3,507.5,,703.2,65.2
12043,3832.5,26679.9,,303.4,,26058.2,62
12045,76.7,,,3.1,,0.5,
12047,634.2,895.3,1.7,90.8,0.8,753.6,79.1
12049,812.9,,,200.3,,140221.3,516.9
12051,11731.3,100379.2,,261.9,,270834.5,2290.3
12053,547.8,1.5,,37.1,,2358.7,60
12055,1330.1,750.5,,386.1,,201169.1,506.2
12057,2700.5,74.9,0.1,154.3,,47493.1,2711.3
12059,1553.2,434.3,10.3,61.4,,1626.2,123.9
12061,350.7,75.5,,58.6,,139154.8,624.3
12063,4886,2076.7,76.3,163.9,,13322.5,953.8
12065,1500.9,766.1,4.1,61.2,,1470.8,253.5
12067,2667.4,553.7,0.1,104.6,,326.5,8.2
12069,1778.7,108,0.1,100.9,,32107.6,887.6
12071,309.1,327.1,,103.7,,35985.8,1605.6
12073,668,359.6,1.3,28.6,,75.1,25.7
12075,1579,6931.8,8.5,684.7,,1307.1,54.5
12077,408.1,14.9,,16.7,,2.6,
12079,2035.4,933.9,13.1,122,34.1,1044.4,285.3
12081,560.4,426.1,,175.3,,66804.8,3752.7
12083,2369.2,557.5,4,212.9,,3759,130.9
12085,1364.4,8848.7,,86.3,,121340.9,321.4
12087,,,,,,0.1,
12089,757.8,68,,26.3,,104.8,15.5
12091,647.1,231.1,10.6,25,,2831.7,190.3
12093,1065.6,,,319.1,,35183.1,120.3
12095,2004.2,366.2,,128.2,,15780.3,372.1
12097,9597.2,,,665.3,,25812.1,521.3
12099,69091.4,666573.4,,168.3,,38977.1,4320.6
12101,1729.5,0.4,,105.3,,18786.5,512.7
12103,28,,,1.7,,275.2,9.2
12105,9477.3,6.7,,483,,195107.9,5128.2
12107,524.1,737.4,,100.6,,781.3,44.8
12109,352.5,1673,,169.4,,1012.5,70.1
12111,548.4,,,84.4,,217228.6,937.2
